name,addresses_road_name,addresses_start_street_number,addresses_neighborhood_name,addresses_district_name,values_value,geo_epgs_25831_x,geo_epgs_25831_y
Hotel Yurbban Trafalgar - HB-004627,C Trafalgar,30,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,932680727,431113.147510023,4582266.543214918
Hotel Ibis Barcelona Centro (Sagrada Familia) - HB-004593,C Nàpols,230,la Sagrada Família,Eixample,932080536,430828.3290083512,4583580.507338361
Hotel HCC Lugano - HB-004598,Av Paral·lel,172,Sant Antoni,Eixample,935579797,429394.17353546945,4580755.3346092785
Hotel Prisma - HB-000114,Av Josep Tarradellas,119,les Corts,Les Corts,934394207,428349.6783610041,4582311.904197989
Hotel Husa L'Illa - HB-003973,Av Diagonal,555,les Corts,Les Corts,934942500,427715.1435128675,4582384.607353548
Hotel Barceló Sants - HB-003954,Pl Països Catalans,,Sants,Sants-Montjuïc,935035300,428157.2394584265,4581248.971530161
Ayre Hotel Caspe - HB-004182,C Casp,103,el Fort Pienc,Eixample,932467000,431407.59348731686,4583054.899583314
Hotel Urquinaona - HB-001950,Rda Sant Pere,24,la Dreta de l'Eixample,Eixample,932681336,430955.26003606274,4582308.547772856
Ako Suite Hotel - HB-004526,C Diputació,195,l'Antiga Esquerra de l'Eixample,Eixample,934533419,429852.8668261027,4581948.830056027
Hotel Colón - HB-000049,Av Catedral,7,el Barri Gòtic,Ciutat Vella,933011404,431083.1918937134,4581814.834616666
